ID,Canopy Height,Plant Height,Vegetarian Wet %,Vegetarian Dry %,Root Wet %,Root Dry %,Leaf Area,Leaf Count,Root Depth,Root Length
R1,34.5044092,54.54852141,1.154047116,18.3939336,2.964588176,57.63264503,1284.229316,5.004257073,16.27328559,19.72892588
R1,34.50804424,54.56815102,1.147099202,18.3817472,2.966955872,57.62968659,1284.217533,4.998235816,16.29046184,19.74375834
R1,34.50582555,54.56726156,1.15238527,18.38971813,2.968963277,57.64508576,1284.244246,5.002948917,16.27045926,19.71953613
R2,33.08850722,67.06720295,1.112119675,19.40065741,2.825112014,41.2838358,1009.224849,4.990736748,15.94612423,20.85803091
R3,36.29185865,45.60296886,1.347317339,31.40024562,2.749837886,27.91400281,981.474687,3.999853189,16.97802879,17.33635757
R2,33.10548774,67.07172898,1.100176883,19.38013216,2.838759968,41.30695201,1009.23257,4.993348131,15.96421343,20.82975344
R1,34.49683141,54.56653657,1.14122142,18.40653039,2.971258639,57.63746543,1284.226567,5.008371952,16.27870213,19.73726255
R2,33.10478176,67.07358405,1.106632223,19.39031314,2.852804198,41.30236229,1009.214421,4.981912038,15.95369104,20.82575362
R3,36.2885438,45.61495059,1.377183674,31.41849508,2.751580316,27.92687991,981.4747595,3.999142048,16.97988797,17.31854726
R3,36.28654305,45.59107041,1.363137857,31.39258458,2.75905353,27.90968274,981.4629965,4.013441433,17.0074514,17.33894104
R2,33.09785743,67.04904297,1.107027401,19.39506842,2.846414972,41.29862345,1009.218378,4.987690217,15.96827166,20.84131558
R3,36.28068585,45.59604187,1.373471296,31.40412871,2.764996975,27.9046454,981.4636879,3.977461421,16.99545422,17.33151931
R3,36.29271312,45.60009016,1.368080199,31.41264951,2.755013618,27.91929036,981.4507371,3.978731937,17.00285969,17.33983352
R2,33.10516771,67.07163645,1.116048331,19.38531147,2.841195854,41.30520785,1009.218747,5.001805503,15.94669204,20.83626527
R2,33.10049041,67.06928061,1.110247155,19.40576322,2.832240145,41.29010246,1009.215266,5.005288336,15.97373835,20.83602778
R2,33.0994118,67.06761638,1.098101036,19.38861291,2.851024848,41.29420021,1009.22869,5.004330045,15.94291007,20.83728691
R3,36.30063398,45.59294912,1.386626984,31.39709676,2.778105793,27.92679707,981.468247,3.992736912,16.99548296,17.33267313
R2,33.10628588,67.06521602,1.096882423,19.39618902,2.847424821,41.29082521,1009.198107,5.014784166,15.96371572,20.8384379
R3,36.30602855,45.59465812,1.37421186,31.39737209,2.755342256,27.92829981,981.4713795,3.985425062,16.99292926,17.33162404
R2,33.09398015,67.06915753,1.116984952,19.36855154,2.856555783,41.27090527,1009.21409,4.980927959,15.9660902,20.83583747
R2,33.10508132,67.06858802,1.083757087,19.39810289,2.84300964,41.29212038,1009.21034,4.980292202,15.96307021,20.83515689
R2,33.11103921,67.07226725,1.120232786,19.39879017,2.857631686,41.3134705,1009.214829,4.982843051,15.96582366,20.81769573
R2,33.10419715,67.07754644,1.113984753,19.41639823,2.839267181,41.27389847,1009.217404,4.997182697,15.95915724,20.83008248
R2,33.10030532,67.07706197,1.099242556,19.42017081,2.841600345,41.30790723,1009.222685,4.984514708,15.97206722,20.85306878
R3,36.29770032,45.60214697,1.376095318,31.39508058,2.763288921,27.92364318,981.4546106,3.995869583,16.9884205,17.34565972
R3,36.30020671,45.59873911,1.368827484,31.40575464,2.76092089,27.9135505,981.4758895,3.991288153,16.99945019,17.32936645
R1,34.51335489,54.56487122,1.153501437,18.38542149,2.944572251,57.64939113,1284.237726,5.00014038,16.2795662,19.73462647
R2,33.11512568,67.06861998,1.111513763,19.4030242,2.847087127,41.30135794,1009.218923,4.995951448,15.96514109,20.83525561
R1,34.52194076,54.56297867,1.149895488,18.39829929,2.965291817,57.63467977,1284.221232,4.998270161,16.27035708,19.72004689
R1,34.49650477,54.5773079,1.158960241,18.41550756,2.959535653,57.62906394,1284.238101,4.992003782,16.28602832,19.73216399
R1,34.48546336,54.55176641,1.134150816,18.39697287,2.951326646,57.6288251,1284.246798,5.001152503,16.28747375,19.71796665
R2,33.095545,67.07178902,1.102609297,19.4151315,2.845730832,41.30797826,1009.232723,5.002483454,15.96015138,20.8360132
R3,36.30959221,45.59869935,1.384226302,31.40445691,2.772272434,27.90482684,981.4711163,3.993397514,17.01833793,17.34446353
R1,34.48674148,54.55290238,1.153037875,18.38741607,2.970625524,57.6382637,1284.243941,4.994202355,16.29256397,19.72411263
R3,36.29592079,45.59970102,1.387992361,31.40484037,2.735576094,27.91074438,981.4808727,3.996318552,16.99604437,17.32354116
R3,36.29775329,45.59165157,1.370732572,31.38935898,2.751260848,27.91291222,981.4683589,3.986759058,17.00914278,17.33762591
R2,33.10333882,67.06558207,1.090475395,19.38488574,2.85394387,41.30159024,1009.22024,5.010474999,15.96329438,20.8308597
R3,36.30460761,45.60844387,1.370050904,31.39563723,2.770037309,27.89477696,981.4640937,4.005307916,17.01502503,17.32844123
R1,34.49932898,54.5330143,1.137269558,18.39669792,2.960068117,57.6421102,1284.240238,4.989496054,16.26986468,19.72596723
R1,34.49641914,54.54560725,1.145801242,18.39100181,2.961947152,57.64454571,1284.257361,4.999650586,16.26991528,19.72787918
R1,34.4905391,54.56917606,1.138675497,18.40320635,2.959140651,57.62000519,1284.247156,4.976833885,16.2760135,19.7483796
R1,34.50979237,54.56216834,1.162334931,18.38886559,2.964734956,57.62957764,1284.235362,4.991398818,16.27431361,19.73011466
R2,33.1083679,67.06414274,1.118293838,19.4019902,2.846851138,41.30112381,1009.229137,4.984203383,15.9522864,20.82935482
R2,33.08366184,67.06610986,1.117604621,19.40367831,2.830035206,41.29640522,1009.238443,5.007516726,15.96707379,20.85862019
R3,36.30008538,45.61432327,1.353953478,31.40184401,2.748885968,27.91786034,981.4595066,3.997692148,16.98981675,17.33335406
R3,36.29536561,45.61198538,1.345573902,31.40692837,2.770919379,27.91638912,981.4693758,3.99224074,17.01278925,17.32045549
R2,33.09201741,67.06231304,1.117266082,19.38771516,2.845673134,41.3043448,1009.224803,5.000536745,15.96349898,20.84328194
R1,34.49143902,54.56148108,1.14369173,18.40188152,2.943934384,57.63871436,1284.244057,4.996941291,16.27072879,19.71613767
R2,33.11251817,67.08057189,1.107880483,19.39753065,2.845747263,41.29513966,1009.233445,5.006501198,15.97362859,20.84459684
R3,36.29892131,45.58983629,1.360141231,31.393451,2.766089683,27.90259932,981.4458054,4.0138208,16.99351191,17.33436283
R2,33.10394496,67.07324033,1.107339244,19.4002718,2.833652982,41.29904643,1009.223545,4.991113586,15.96053073,20.82187783
R2,33.1072537,67.05719815,1.102675996,19.43437045,2.84007095,41.30351958,1009.211273,5.000356221,15.97499431,20.85171025
R1,34.49822874,54.56682422,1.150359313,18.39889679,2.950623509,57.62452574,1284.24456,4.995841288,16.27648717,19.72004378
R1,34.50129332,54.55036692,1.14302743,18.39570646,2.970784123,57.6320076,1284.235741,4.978274659,16.26333114,19.7270566
R3,36.31590775,45.60019588,1.371775478,31.40783127,2.767535131,27.92741397,981.4857545,3.999712537,17.01101259,17.31021619
R2,33.08399653,67.07177711,1.122494222,19.39728367,2.845519213,41.29444942,1009.219962,4.997961135,15.96278889,20.83451052
R1,34.48914549,54.55794544,1.165404772,18.39147786,2.960524399,57.63569118,1284.225115,4.981949741,16.28445525,19.72127168
R2,33.10960047,67.06575295,1.108467641,19.40387691,2.841591777,41.29732632,1009.209985,4.994798276,15.95345378,20.83490805
R3,36.30289951,45.59302779,1.350838543,31.39575135,2.775875159,27.90344714,981.459536,4.002721798,17.01235079,17.32974887
R2,33.08367637,67.07155251,1.100545105,19.4091402,2.857818682,41.30740874,1009.238529,4.997131155,15.96219733,20.85821059
R1,34.50629307,54.54652601,1.141786887,18.40647575,2.961901025,57.62966728,1284.24778,4.996479541,16.26879789,19.72575611
R2,33.09227247,67.0746876,1.122002034,19.40336459,2.843506222,41.31337993,1009.218815,5.01305449,15.98178418,20.84543079
R3,36.27915549,45.60129974,1.370744302,31.40832136,2.778177236,27.89124909,981.4718995,3.997752438,16.98615831,17.34284508
R2,33.09112291,67.07874918,1.092695738,19.39820819,2.829302263,41.3017064,1009.210868,4.994946468,15.95154306,20.81701307
R1,34.49817114,54.56026922,1.172593618,18.40063561,2.960999141,57.62181167,1284.255065,5.011048732,16.26571161,19.7397717
R2,33.10857397,67.06963249,1.089368349,19.41828389,2.836505898,41.28931264,1009.218624,5.002831548,15.97121373,20.83109055
R1,34.51395091,54.55879141,1.121127973,18.38725397,2.95547438,57.62845352,1284.228658,4.994828753,16.27711323,19.73737064
R3,36.29968729,45.61288318,1.366182426,31.41697072,2.764050687,27.91253169,981.4557445,3.97745541,17.00166988,17.35058965
R2,33.10011813,67.06676034,1.092934385,19.40638253,2.839628331,41.31102512,1009.219527,4.992313522,15.95924769,20.85131332
R1,34.49881487,54.54506898,1.163955138,18.40009108,2.949397664,57.63701768,1284.235593,5.007235167,16.28170464,19.72945937
R3,36.29318174,45.60922208,1.351312227,31.39923956,2.757174226,27.90599061,981.4684269,3.993775056,16.99787924,17.34672587
R2,33.10534326,67.0457713,1.108531236,19.38831009,2.852528166,41.28332485,1009.217031,5.007974031,15.9559504,20.84851131
R3,36.29838406,45.6014851,1.365890879,31.38626916,2.754431678,27.93769666,981.4603233,4.005259696,16.99041672,17.352777
R1,34.5074523,54.56774859,1.151782641,18.4161064,2.969043997,57.63384259,1284.217286,4.988259161,16.29562486,19.7299458
R3,36.29612538,45.59482653,1.361255763,31.40367383,2.765124607,27.90518034,981.4609791,3.982281367,16.99743329,17.33226128
R2,33.09868023,67.06139269,1.091081183,19.39268384,2.845250136,41.28860823,1009.218603,4.999056912,15.95541514,20.81500438
R1,34.51678412,54.58147294,1.167430371,18.4060036,2.955318156,57.61669745,1284.229059,5.006032941,16.27170223,19.73809252
R3,36.30322117,45.59160526,1.36435336,31.40746263,2.766222381,27.92516401,981.4785878,4.002125563,16.99854347,17.34245628
R2,33.11115741,67.06571498,1.095691984,19.42697924,2.864477195,41.30691182,1009.211631,5.015092849,15.9545003,20.82040004
R1,34.50663309,54.56051918,1.144665426,18.42955067,2.96934627,57.61945788,1284.23831,4.994453121,16.28430218,19.74198929
R2,33.09383614,67.06766567,1.110855727,19.41317303,2.847342753,41.30784511,1009.226434,5.001085779,15.97437078,20.86103466
R1,34.49681168,54.55469927,1.138119556,18.40924393,2.960909779,57.64858726,1284.243431,4.998234662,16.27786556,19.71489284
R1,34.51770832,54.56770092,1.152076857,18.40960282,2.957474393,57.63273226,1284.233145,5.016122929,16.29552849,19.72732849
R1,34.49283333,54.57865156,1.153601227,18.40842225,2.940423445,57.64643352,1284.245239,4.989438338,16.27310966,19.72646403
R3,36.28038324,45.59081617,1.376479893,31.40345328,2.76456918,27.90273376,981.481612,4.012730564,17.00678638,17.33400309
R2,33.10381288,67.06578239,1.119944885,19.39256067,2.843999764,41.30255032,1009.244954,5.012782186,15.96231839,20.85140387
R1,34.51390723,54.57048728,1.15480233,18.40317791,2.947256196,57.62049098,1284.237049,4.988637943,16.29009141,19.72202536
R3,36.2993891,45.59384548,1.359580997,31.40699186,2.751309169,27.9259833,981.4622372,4.016493694,17.00897658,17.32838243
R1,34.50070682,54.55724608,1.153385793,18.41647576,2.951130555,57.62390054,1284.222362,4.997721637,16.26866046,19.74135056
R1,34.49393073,54.55792723,1.166200688,18.40359365,2.950968326,57.62825913,1284.242625,5.022869723,16.25554935,19.73214882
R3,36.29008142,45.61088656,1.36883192,31.39708328,2.75456945,27.91257868,981.4567847,4.00351574,17.00626078,17.32942327
R2,33.11225556,67.06878867,1.112986869,19.40831027,2.833697958,41.30876869,1009.233385,5.002086926,15.97395305,20.8316131
R3,36.30026449,45.59354663,1.370722969,31.42679334,2.761097559,27.91834974,981.4779284,3.98919423,16.98912488,17.34054327
R3,36.30053283,45.59206994,1.370778367,31.40156976,2.768590629,27.92187546,981.4762558,3.991413462,16.99661407,17.32217435
R3,36.3012177,45.60754619,1.372278276,31.38774105,2.767393128,27.92712318,981.4695427,4.006688573,16.99501134,17.32751697
R1,34.49659916,54.57318388,1.139143576,18.40122211,2.95831457,57.64274562,1284.217935,4.980705198,16.27038277,19.73011965
R1,34.49137695,54.57374655,1.166806498,18.40591646,2.944979696,57.62767745,1284.228065,5.002046127,16.28755971,19.73830281
R1,34.5005386,54.55893665,1.160450472,18.39073279,2.949206688,57.65300584,1284.246692,4.987654802,16.28953825,19.74453644
R3,36.30141685,45.61532284,1.356626699,31.41530264,2.772249254,27.90834312,981.468353,4.007586844,16.99362352,17.31621187
R1,34.48652496,54.56914199,1.161712364,18.40324937,2.936101892,57.64143148,1284.239497,4.996652779,16.27919084,19.73231014
R2,33.11078488,67.06873989,1.113119166,19.39957193,2.846075926,41.30092928,1009.241103,4.978888142,15.95381462,20.82620081
R2,33.09911042,67.05951948,1.10534982,19.41216291,2.845229452,41.30004462,1009.210307,5.00250689,15.95974631,20.8293041
R1,34.49804313,54.53804415,1.165271713,18.39329613,2.957292281,57.62837322,1284.23556,5.007629836,16.27406873,19.74330344
R2,33.1033674,67.06096822,1.103995101,19.39194776,2.868895048,41.31946139,1009.228991,4.994818044,15.96766983,20.8577813
R1,34.52340729,54.5616859,1.156048468,18.39400081,2.953008712,57.64679815,1284.232906,5.007913363,16.27678175,19.72931022
R2,33.11574929,67.05541889,1.103442955,19.3892633,2.844266139,41.29812337,1009.229683,5.001567848,15.95597066,20.84447547
R3,36.31327712,45.59835398,1.391571028,31.40338501,2.762553892,27.92836111,981.4798058,4.007778988,16.99937334,17.32680085
R1,34.48972737,54.55069804,1.15629618,18.42293764,2.954924283,57.63433526,1284.210971,5.005060714,16.2842857,19.73449964
R3,36.30050293,45.58245463,1.373007336,31.39535554,2.750206705,27.90459182,981.4555918,3.998572691,17.01575771,17.32646615
R2,33.0963884,67.08474274,1.105176837,19.38922144,2.826699406,41.30046738,1009.226414,4.996881574,15.95446714,20.83653316
R3,36.30662816,45.61234273,1.357632016,31.41075795,2.784853365,27.90543986,981.4612039,3.997103462,17.01118814,17.3353383
R3,36.30138136,45.59914597,1.356614324,31.40173736,2.739595021,27.90307579,981.4516716,4.011097163,17.00017763,17.3277427
R1,34.4990558,54.5371056,1.166884765,18.39113473,2.951361758,57.62942678,1284.233291,5.012480489,16.28045257,19.742185
R2,33.10329438,67.0699981,1.114119062,19.39267541,2.857875595,41.30158636,1009.227802,5.006123058,15.95698427,20.82534305
R3,36.30172185,45.59093945,1.384994867,31.3978755,2.762684268,27.89670509,981.472228,3.997717174,17.00506432,17.33139057
R3,36.30768529,45.6028989,1.356106393,31.38553317,2.750469091,27.92537047,981.4648511,3.994234591,16.97206253,17.33918043
R3,36.31711266,45.57782179,1.367776477,31.40737897,2.74790488,27.91801055,981.4765595,3.996894492,16.99532282,17.3306848
R3,36.29108356,45.60603859,1.362422143,31.39177981,2.746382919,27.92921071,981.4796153,4.005521883,17.00308479,17.33262388
R2,33.09584944,67.07241169,1.092156975,19.4023582,2.850162587,41.31131235,1009.238953,5.003240938,15.97699923,20.84206097
R3,36.31076989,45.60169518,1.365330616,31.3968604,2.767933953,27.91796209,981.4811472,3.995906861,17.00620904,17.33733927
R1,34.50868214,54.56984099,1.171169408,18.39597664,2.960773642,57.6382681,1284.234534,4.992929012,16.27109391,19.74028324
R2,33.09477712,67.05333377,1.104901748,19.38452908,2.828458561,41.29553699,1009.227639,4.98526421,15.9606183,20.84743491
R2,33.10362791,67.06773998,1.095804326,19.41178252,2.847442447,41.31730229,1009.211025,4.986170668,15.95272929,20.83546134
R1,34.50253993,54.54716236,1.154051463,18.41305992,2.960968526,57.63645355,1284.249048,4.998183719,16.27332449,19.72037478
R3,36.28139815,45.58738309,1.375954092,31.4030517,2.772169068,27.91739004,981.4678873,3.978521906,16.99807708,17.33588459
R2,33.09773219,67.07435409,1.133191393,19.38061169,2.845570403,41.29787172,1009.229573,5.005984568,15.95831432,20.84215706
R2,33.10196823,67.07408591,1.08782381,19.40471171,2.843722621,41.31292195,1009.234262,5.001811926,15.95440516,20.83387448
R3,36.2959928,45.60063016,1.337621137,31.4121948,2.778188388,27.91118958,981.4714888,4.005674211,17.01092448,17.31435421
R3,36.30121017,45.60390467,1.35424819,31.41637032,2.771654725,27.92390172,981.4673726,4.000248788,17.00269275,17.32027418
R1,34.50329993,54.54989343,1.163009178,18.4003939,2.968317141,57.64397518,1284.234062,5.002577717,16.27898801,19.72068529
R3,36.28505479,45.6110899,1.362300866,31.39763327,2.763414133,27.91428925,981.4732389,4.009611755,16.9979451,17.34899378
R1,34.48754282,54.57581793,1.150474167,18.39463021,2.965623007,57.62414178,1284.224551,5.011536694,16.27148758,19.71674745
R1,34.5034016,54.56737676,1.152254587,18.41214136,2.968258056,57.63475267,1284.240641,4.989699663,16.28474745,19.75175421
R1,34.50540346,54.53618574,1.16640436,18.38417392,2.959753707,57.63021586,1284.237358,4.989861854,16.28825564,19.73182166
R1,34.49482161,54.54978023,1.148308821,18.41578763,2.95201415,57.61626552,1284.24906,4.996661626,16.27443349,19.73954873
R2,33.1041594,67.05931745,1.108451834,19.40215084,2.844253408,41.29386433,1009.234961,5.003209416,15.97238763,20.84337362
R3,36.3060494,45.58953891,1.360043215,31.39474641,2.762000923,27.90339477,981.4579153,4.006083558,17.00205619,17.32989719
R3,36.30390662,45.59932375,1.378291219,31.42009484,2.765006685,27.9091022,981.4785723,4.003305128,16.98907251,17.33336215
R3,36.29360512,45.60651334,1.382851402,31.40634144,2.753065733,27.92186515,981.4663219,3.993999013,16.99843447,17.33392568
R3,36.3027358,45.59200418,1.376274661,31.39292853,2.779960559,27.9103916,981.4691275,3.993083219,17.01392732,17.33593232
R2,33.10740751,67.05967134,1.099158705,19.3965093,2.851002854,41.30485144,1009.211748,4.991825356,15.96270477,20.84018449
R1,34.5013634,54.54709837,1.153340735,18.4141419,2.971315653,57.61518225,1284.239786,4.998192683,16.28426652,19.73925227
R2,33.10366192,67.07783061,1.117187293,19.39488317,2.842183867,41.30637048,1009.224635,5.010808965,15.96174598,20.83703103
R2,33.10205691,67.07907091,1.098801319,19.41356341,2.855776313,41.29022248,1009.212989,4.99919824,15.97319787,20.85555119
R1,34.48386615,54.57545935,1.150379157,18.4012724,2.985872454,57.62528718,1284.241343,4.992326691,16.26617793,19.72395846
R3,36.29883592,45.61285368,1.363469699,31.40360594,2.750778399,27.9066763,981.4449671,3.99968679,16.97945826,17.34155299
R3,36.32323041,45.58619473,1.358555095,31.40253111,2.770812765,27.90815826,981.4652722,3.995337451,16.98669007,17.35043014
R2,33.09149267,67.0747633,1.112915107,19.41171157,2.843551227,41.30858868,1009.232693,4.978171094,15.96170991,20.84633363
R2,33.09082771,67.05217947,1.128770973,19.40836157,2.854709832,41.28659749,1009.204083,5.015982421,15.97328693,20.84262893
R2,33.11918157,67.06537579,1.108588,19.41391133,2.8323596,41.30191316,1009.231557,5.025558116,15.96070167,20.83702095
R1,34.50601764,54.5788046,1.147830389,18.40080715,2.966384291,57.63890467,1284.247163,4.993269371,16.30114321,19.73491824
R3,36.29887679,45.60607535,1.370959721,31.41780387,2.756142715,27.90443468,981.4770348,3.997956848,16.99565332,17.33060959
R1,34.49281192,54.55236009,1.159714452,18.39645287,2.950224643,57.64636645,1284.221055,5.015280951,16.27918875,19.74289809
R2,33.09654076,67.07029909,1.104267512,19.38925491,2.843999326,41.28350699,1009.213931,5.007326804,15.96681509,20.83311511
R2,33.10651761,67.07071012,1.097121788,19.39796272,2.842642108,41.298392,1009.231748,4.99780098,15.9641177,20.83062155
R3,36.30894561,45.60909833,1.347506233,31.41439699,2.767886677,27.92053445,981.4570818,3.996750801,17.00676268,17.33821083
R3,36.30546026,45.60830242,1.356604375,31.3953221,2.761700762,27.91473673,981.4579443,4.005959657,16.97298748,17.34540548
R3,36.30197826,45.58524142,1.383415242,31.40712899,2.756782537,27.92408194,981.4679385,3.999090365,17.0023808,17.3431965
R3,36.29586163,45.5914499,1.357868011,31.39471983,2.758680111,27.91792167,981.4708307,4.008087865,17.00289277,17.32908306
R1,34.50127255,54.56484549,1.166906669,18.41015521,2.94106545,57.65484427,1284.232936,4.999273573,16.26467906,19.74290149
R1,34.47835971,54.56349722,1.158506665,18.4105312,2.953202903,57.63315377,1284.231675,4.992643442,16.27225383,19.74804669
R3,36.31717929,45.61136791,1.350908591,31.39704662,2.762159573,27.91204214,981.4857666,3.997469594,16.98365389,17.34467456
R3,36.28448341,45.61593329,1.365672505,31.38885326,2.773241507,27.91253183,981.4713306,4.020207313,16.98319238,17.3228511
R1,34.50137974,54.55037673,1.151093336,18.40278761,2.97256845,57.62914593,1284.237812,5.00791656,16.28454089,19.72865584
R1,34.50555439,54.56273016,1.165275571,18.40302424,2.962010628,57.65112688,1284.210735,4.997010329,16.28835696,19.74276968
R1,34.48493961,54.57433558,1.135772342,18.40778205,2.958839004,57.64269523,1284.222096,5.008523082,16.2787295,19.72679429
R1,34.49236126,54.56704685,1.157538593,18.41593693,2.945054309,57.63342429,1284.250073,4.994754703,16.26195907,19.73837887
R2,33.10253233,67.07697003,1.112941725,19.37995432,2.85985242,41.30942492,1009.214114,4.995067978,15.96005356,20.82363382
R2,33.10478445,67.04385501,1.110811856,19.39340023,2.851977705,41.29766478,1009.234394,5.029713028,15.96898647,20.85640694
R3,36.29200889,45.6109403,1.378862245,31.41013153,2.764454138,27.90951091,981.455182,4.008739702,16.99778536,17.33370451
R1,34.50691586,54.55111759,1.156776026,18.4040257,2.957533926,57.6412229,1284.230631,5.002520933,16.27612489,19.7317408
R3,36.29960452,45.60495648,1.368634514,31.4185717,2.755581193,27.92318155,981.4698334,3.990338707,17.00428258,17.33084023
R1,34.50564854,54.55521315,1.16639527,18.41665753,2.960134308,57.64579212,1284.236921,5.006588655,16.29622678,19.73417262
R1,34.50129303,54.57341826,1.15094276,18.41980879,2.957557469,57.6534459,1284.242177,5.013775069,16.28123503,19.73876586
R1,34.48247896,54.56076471,1.142624687,18.40633502,2.976766664,57.62713012,1284.239239,5.004232352,16.28499617,19.74106141
R2,33.0979847,67.07373187,1.09967109,19.39280911,2.839886749,41.30105746,1009.219982,5.008899135,15.9374918,20.84393555
R1,34.51878139,54.55587172,1.153334791,18.40029898,2.962414611,57.64102943,1284.247262,4.992651361,16.28181517,19.74195823
R2,33.11767214,67.04301108,1.115361086,19.40913563,2.852971844,41.30642913,1009.211477,4.99724971,15.95544073,20.84080525
R1,34.50619305,54.57713446,1.138790071,18.38318403,2.964032518,57.64408077,1284.243991,4.985795682,16.28423765,19.73821868
R3,36.30392691,45.59370926,1.372006988,31.40840343,2.756994432,27.92103805,981.4568089,4.008127033,16.99047079,17.31285466
R2,33.08386654,67.05442546,1.104881449,19.38931241,2.854110057,41.29352428,1009.216668,5.000729841,15.95136723,20.85054694
R2,33.09151242,67.06968963,1.13069608,19.39889407,2.850436972,41.29862505,1009.2293,4.989993586,15.95420346,20.84034278
R1,34.49380802,54.57012234,1.150620027,18.38953808,2.947646228,57.63417763,1284.245481,5.004092368,16.28775883,19.72684206
R2,33.10658507,67.07347935,1.109407339,19.39908583,2.832849265,41.29459243,1009.234398,5.004184549,15.96316024,20.84485274
R2,33.09848146,67.06721726,1.125585961,19.37764769,2.837341985,41.29890914,1009.226245,5.008042807,15.97116107,20.85594998
R2,33.11338526,67.07227243,1.119634634,19.42311264,2.825967975,41.29120418,1009.23697,4.989279437,15.97146046,20.83604649
R3,36.29312188,45.59098517,1.342026346,31.40650414,2.764596295,27.90547367,981.4539856,3.99650542,17.00087423,17.32301399
R1,34.50697266,54.56312267,1.13930237,18.39778427,2.957393753,57.62534289,1284.214218,5.008705185,16.28022477,19.74532462
R1,34.49516438,54.55660495,1.147493138,18.4065626,2.955344282,57.64205035,1284.229471,4.995741747,16.28437822,19.75406159
R1,34.48594481,54.55675683,1.156566799,18.39562146,2.957431655,57.62297633,1284.249822,5.010559815,16.27982389,19.73643095
R3,36.30757548,45.6251145,1.352800577,31.39843144,2.776358817,27.8945402,981.4564502,4.000910932,16.99418587,17.33622404
R1,34.49548477,54.56091467,1.141926675,18.40405495,2.955000385,57.63192628,1284.245042,4.978886677,16.27268671,19.73982022
R3,36.30681679,45.58929268,1.35999602,31.41953231,2.772108112,27.90637057,981.4917656,3.992391804,16.99035786,17.35190974
R3,36.31047122,45.61113668,1.366430175,31.41134919,2.763294694,27.90840249,981.4634662,3.992778926,16.9956678,17.3200709
R3,36.30162392,45.59504308,1.368969052,31.40413846,2.761207671,27.92696956,981.4658738,3.996947873,17.00817502,17.32459269
R2,33.10404395,67.07810289,1.116401428,19.40715653,2.845094369,41.31300747,1009.217216,4.997457084,15.93976135,20.83565134
R3,36.30422975,45.61302319,1.373439186,31.38985042,2.759681001,27.91490999,981.4810369,4.004019407,17.00189049,17.3203178
R3,36.29251458,45.59959866,1.330478966,31.40237649,2.751077264,27.91432247,981.4607056,4.001930645,16.99194547,17.32484894
R1,34.50526981,54.55589304,1.167824467,18.42459337,2.986500706,57.63311297,1284.232161,5.003232654,16.27644407,19.71060099
R2,33.10038396,67.06090991,1.114582598,19.39758608,2.845252464,41.29508172,1009.223133,4.990345149,15.96833325,20.85824239
R3,36.28733144,45.60683913,1.369075389,31.4231619,2.776370531,27.90474114,981.4750742,3.999602439,17.00655871,17.32018579
R1,34.51209492,54.56370568,1.147419304,18.4060889,2.97263272,57.65149461,1284.232615,4.998151951,16.27227377,19.7412128
R3,36.31574252,45.59007374,1.365656864,31.38399964,2.754984128,27.89211122,981.463233,3.994165518,16.99842247,17.3209527
R3,36.30029475,45.59168553,1.368123988,31.40578343,2.763553374,27.91375113,981.4759014,4.00443511,16.98901857,17.32896678
R3,36.29967535,45.58976933,1.373724531,31.40432494,2.750291262,27.92690742,981.4730588,3.996525204,16.99993082,17.34346998
